A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A213,Browning Middle School PO Box 610 Browning,B83,Browning Middle School Po Box 610 Browning,1.0000002
A215,Browning High School PO Box 610 Browning,B82,Browning High School Po Box 610 Browning,1.0000002
A251,Choteau High School 204 7th Ave NW Choteau,B123,Choteau High School 204 7th Ave Nw Choteau,1.0000001
A481,Highwood High School 160 West Street South Highwood,B318,Highwood High School 160 West Street South Highwood,1.0000001
A509,Judith Gap High School PO Box 67 Judith Gap,B356,Judith Gap High School Po Box 67 Judith Gap,1.0000001
A574,Malta High School PO Box 670 Malta,B418,Malta High School Po Box 670 Malta,1.0000001
A580,Marion 7-8 205 Gopher Lane Marion,B425,Marion 7-8 205 Gopher Lane Marion,1.0000001
A670,Power High School PO Box 155 Power,B514,Power High School Po Box 155 Power,1.0000001
A852,Rocky Boy High School RR 1 Box 620 Box Elder,B540,Rocky Boy High School Rr 1 Box 620 Box Elder,1.0000001
A173,Bonner School PO Box 1004 Bonner,B62,Bonner School Po Box 1004 Bonner,1
A395,Geyser High School PO Box 70 Geyser,B255,Geyser High School Po Box 70 Geyser,1
A501,Jefferson High School PO Box 838 Boulder,B347,Jefferson High School Po Box 838 Boulder,1
A549,Libby Middle School 724 Louisiana Ave Libby,B384,Libby Middle School 724 Louisiana Ave Libby,1
A556,Lincoln High School PO Box 39 Lincoln,B393,Lincoln High School Po Box 39 Lincoln,1
A567,Lone Rock School 1112 Three Mile Creek Rd Stevensville,B406,Lone Rock School 1112 Three Mile Creek Rd Stevensville,1
A730,Sheridan 7-8 PO Box 586 Sheridan,B591,Sheridan 7-8 Po Box 586 Sheridan,1
A97,Avon School PO Box 246 Avon,B22,Avon School Po Box 246 Avon,0.99999994
A394,Geyser School PO Box 70 Geyser,B256,Geyser School Po Box 70 Geyser,0.99999994
A550,Libby High School 724 Louisiana Ave Libby,B383,Libby High School 724 Louisiana Ave Libby,0.99999994
A784,Trout Creek School 4 School Lane Trout Creek,B643,Trout Creek School 4 School Lane Trout Creek,0.99999994
A482,Highwood Middle School 160 West Street South Highwood,B319,Highwood Middle School 160 West Street South Highwood,0.9999999
A95,Augusta High School PO Box 307 Augusta,B21,Augusta High School Po Box 307 Augusta,0.9999998
A624,Nashua School PO Box 170 Nashua,B461,Nashua School Po Box 170 Nashua,0.99999976
A50,MT Sch For Deaf & Blnd El 3911 Central Avenue Great Falls,B456,Mt Sch For Deaf & Blnd El 3911 Central Ave Great Falls,0.99776345
A49,MT Sch For Deaf & Blnd HS 3911 Central Avenue Great Falls,B457,Mt Sch For Deaf & Blnd Hs 3911 Central Ave Great Falls,0.99775475
A807,West Valley Middle School 2290 Farm To Market Road Kalispell,B678,West Valley Middle School 2290 Farm To Market Rd Kalispell,0.99685276
A647,Pleasant Valley School 7975 Pleasant Valley Road Marion,B491,Pleasant Valley School 7975 Pleasant Valley Rd Marion,0.9968116
A194,Bridger Elementary School 429 W. Park Ave Bridger,B70,Bridger Elementary School 429 W Park Ave Bridger,0.99675775
A666,Powell County High School 709 Missouri Avenue Deer Lodge,B511,Powell County High School 709 Missouri Ave Deer Lodge,0.99633825
A346,Fair-Mont-Egan Middle School 797 Fairmont Road Kalispell,B204,Fair-Mont-Egan Middle School 797 Fairmont Rd Kalispell,0.99624014
A528,Salmon Prairie School 23187 MT Hwy 83 Swan Lake,B572,Salmon Prairie School 23187 Mt Highway 83 Swan Lake,0.996117
A803,Victor High School 425 4th Avenue Victor,B666,Victor High School 425 4th Ave Victor,0.9959773
A806,West Valley School 2290 Farm To Market Road Kalispell,B679,West Valley School 2290 Farm To Market Rd Kalispell,0.9956994
A345,Fair-Mont-Egan School 797 Fairmont Road Kalispell,B205,Fair-Mont-Egan School 797 Fairmont Rd Kalispell,0.9955418
A812,Westby High School PO Box 109 Westby,B685,Westby High School Po Box 108 Westby,0.9955189
A5,Cut Bank Middle School 101 3rd Avenue SE Cut Bank,B149,Cut Bank Middle School 101 4th Ave Se Cut Bank,0.99545366
A469,Helena Flats School 1000 Helena Flats Road Kalispell,B301,Helena Flats School 1000 Helena Flats Rd Kalispell,0.9953134
A307,Deer Park School 2105 Middle Road Columbia Falls,B159,Deer Park School 2105 Middle Rd Columbia Falls,0.9952246
A750,Stevensville High School 300 Park Street Stevensville,B619,Stevensville High School 300 Park St Stevensville,0.9946696
A618,Montana City School 11 McClellan Creek Road Clancy,B449,Montana City School 11 Mcclellan Creek Rd Clancy,0.9946098
